date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:25	622/622	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:57:03%20GMT	https://kidsdiscoveryworld.com/images/social_icon_gp.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/social_icon_gp.png	(from https://kidsdiscoveryworld.com/)
15:42:25	10998/10998	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202019%2015:44:32%20GMT	https://kidsdiscoveryworld.com/images/logo.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/logo.png	(from https://kidsdiscoveryworld.com/)
15:42:25	350669/350669	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:44%20GMT	https://kidsdiscoveryworld.com/images/child_1.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/child_1.png	(from https://kidsdiscoveryworld.com/)
15:42:26	360824/360824	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:45%20GMT	https://kidsdiscoveryworld.com/images/child_2.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/child_2.png	(from https://kidsdiscoveryworld.com/)
15:42:26	287549/287549	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:47%20GMT	https://kidsdiscoveryworld.com/images/child_3.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/child_3.png	(from https://kidsdiscoveryworld.com/)
15:42:26	383626/383626	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:48%20GMT	https://kidsdiscoveryworld.com/images/child_4.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/child_4.png	(from https://kidsdiscoveryworld.com/)
15:42:26	2771/2771	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Sep%202020%2018:42:26%20GMT	https://kidsdiscoveryworld.com/generator/default.php?page=pages&view=edit&doc=index.html&return=%2F	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/generator/default9147.html	(from https://kidsdiscoveryworld.com/)
15:42:26	452130/452130	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jan%202019%2009:56:57%20GMT	https://kidsdiscoveryworld.com/images/nowEnrolling.png	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/images/nowEnrolling.png	(from https://kidsdiscoveryworld.com/)
15:42:27	10533/10533	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Jan%202019%2006:34:19%20GMT	https://kidsdiscoveryworld.com/anijs/dist/anijs-min.js	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/anijs/dist/anijs-min.js	(from https://kidsdiscoveryworld.com/)
15:42:27	1085/1085	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Jan%202019%2006:34:42%20GMT	https://kidsdiscoveryworld.com/anijs/dist/helpers/scrollreveal/anijs-helper-scrollreveal-min.js	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/anijs/dist/helpers/scrollreveal/anijs-helper-scrollreveal-min.js	(from https://kidsdiscoveryworld.com/)
